Date,Building,Stream,Substream,Volume,Weight,Notes
4/27/17,Benson Center,Landfill,metal,0.75,5.3,"mini pie tins, bulk cans, pam"
4/27/17,Benson Center,Landfill,E-/Universal Waste,0.25,1.4,3 bulbs
4/27/16,Benson Center,Landfill,reusables,0.13,2.0,"hangers, Benson fork, apron, syran wrap roll"
4/27/16,Benson Center,Landfill,metal,0.33,2.3,"soda cans, evets trays, green chile cans"
4/27/16,Benson Center,Landfill,Plastic 1-7,0.5,3.1,"orange force bottle, syrup containers"
4/27/16,Benson Center,Landfill,Other Landfill,0.75,6.4,"gloves, napking packaging"
4/27/16,Benson Center,Landfill,paper towels,0.25,2.4,
4/27/16,Benson Center,Landfill,Compostable Food Containers,1.0,13.2,"clamshells, clear cups, salad containers"
4/27/16,Benson Center,Landfill,Misc. Meal Waste,0.33,41.8,
4/27/16,Benson Center,Landfill,paper,0.33,1.2,"recipts, glove boxes"
4/27/16,Benson Center,Landfill,aseptic containers,0.33,0.8,liquid egg containers
4/27/16,Benson Center,Landfill,cardboard,0.5,1.1,drink cases
4/27/16,Benson Center,Landfill,glass,0.03,0.1,soy sauce jars
4/27/16,Benson Center,Landfill,Plastic Film,1.0,8.5,bags
2/9/16,Benson Center,Landfill,Plastic Film,1.0,8.6,Seran Wrap
2/9/16,Benson Center,Landfill,cardboard,1.25,6.1,"Egg Cartons, boxes"
2/9/16,Benson Center,Landfill,paper,1.0,8.6,"half&half boxes, swiss miss boxes, milk cartons"
2/9/16,Benson Center,Landfill,Misc. Meal Waste,0.25,33.3,"egg shells, avocado, sandwhich toppongs, loaf of bread"
2/9/16,Benson Center,Landfill,Compostable Food Containers,1.0,10.7,"salad to-go containers, clamshells, coke cups"
2/9/16,Benson Center,Landfill,Plastic Film,1.0,7.7,bread bags
2/9/16,Benson Center,Landfill,Plastic 1-7,1.25,13.2,"large containers, rice vinegal, canola oil"
2/9/16,Benson Center,Landfill,cardboard,1.0,7.4,"apple trays, boxes, egg cartons"
2/9/16,Benson Center,Landfill,Plastic 1-7,1.0,6.4,"Lime Away, plastic utensils, canola oil "
2/9/16,Benson Center,Landfill,Misc. Meal Waste,0.33,44.8,
2/9/16,Benson Center,Landfill,Compostable Food Containers,1.0,10.9,"clamshells, salad containers, coke cups, water glasses"
2/9/16,Benson Center,Landfill,paper,1.0,4.4,"milk cartons, receipts, liquid eggs"
2/9/16,Benson Center,Landfill,metal,0.75,8.6,"pinto beans, olive cans, aluminum foil"
2/9/16,Benson Center,Landfill,glass,0.25,5.8,"tobasco bottle, saucer, broken plate"
2/9/16,Benson Center,Landfill,Const/Demo Waste,0.17,1.1,sticks
2/9/16,Benson Center,Landfill,reusables,0.17,5.1,"forks, apron, clothes/rags, unused seran wrap roll "
2/9/16,Benson Center,Landfill,Plastic Film,0.75,11.1,
2/9/16,Benson Center,Landfill,terracycle,0.03,0.01,energy bar wrappers
2/9/16,Benson Center,Landfill,Other Landfill,0.8,18.3,
2/9/16,Benson Center,Landfill,Plastic 1-7,0.04,1.2,"coffee cups, lids, utensils"
2/9/16,Benson Center,Landfill,paper towels,0.5,6.8,
2/9/16,Benson Center,Landfill,cardboard,0.75,5.2,"bakery containers, fruit holder, boxes "
11/16/15,Benson Center,Landfill,cardboard,1.0,5.9,"boxes, egg cartons"
11/16/15,Benson Center,Landfill,Compostable Food Containers,1.0,9.9,flowers
11/16/15,Benson Center,Compost,paper towels,0.33,3.3,paper towels
11/16/15,Benson Center,Landfill,Misc. Meal Waste,0.33,33.1,"bread ends, potato peels, eggshells/bacon"
11/16/15,Benson Center,Landfill,Compostable Food Containers,1.0,16.2,"coke cups, paper wrappers, clamshells and plates"
11/16/15,Benson Center,Landfill,terracycle,0.03,0.1,"granola bar wrappers, markers"
11/16/15,Benson Center,Landfill,reusables,0.06,0.1,"cloth rags, twist ties"
11/16/15,Benson Center,Landfill,Plastic 1-7,0.8,7.1,"black silverware, juice containers, mayo containers"
11/16/15,Benson Center,Landfill,paper,0.75,3.6,"oat containers, salt containers, red bull boxes"
11/16/15,Benson Center,Landfill,aseptic containers,0.8,3.8,"milk containers, liquid egg containers"
11/16/15,Benson Center,Landfill,Other Landfill,0.14,0.2,*coffee cups were sorted separately
11/16/15,Benson Center,Landfill,Other Landfill,0.75,12.9,
11/16/15,Benson Center,Landfill,metal,0.33,2.2,"tin foil, large cans (olives/manderines), soda cans"
11/16/15,Benson Center,Landfill,cardboard,0.33,3.1,boxes
11/16/15,Benson Center,Landfill,glass,0.03,0.4,bottles
11/16/15,Benson Center,Landfill,Plastic Film,1.0,11.8,"syran wrap,bags/food packaging"
4/30/15,Benson Center,Landfill,Compostable Food Containers,1.0,9.0,"Clam shells,To-go cups, to go plates"
4/30/15,Benson Center,Landfill,Misc. Meal Waste,0.33,43.0,student food waste
4/30/15,Benson Center,Landfill,Plastic Film,1.0,16.9,bread wrapers
4/30/15,Benson Center,Landfill,Misc. Meal Waste,0.33,42.6,
4/30/15,Benson Center,Landfill,Compostable Food Containers,1.0,13.8,
4/30/15,Benson Center,Landfill,Misc. Meal Waste,0.5,48.9,
4/30/15,Benson Center,Landfill,Misc. Meal Waste,0.25,23.5,
4/30/15,Benson Center,Landfill,Misc. Meal Waste,0.33,19.4,
4/30/15,Benson Center,Landfill,Plastic Film,1.0,15.4,shrimp bag
4/30/15,Benson Center,Landfill,Compostable Food Containers,1.0,13.7,
4/30/15,Benson Center,Landfill,metal,0.33,5.0,"clam juice cans, pan spray"
4/30/15,Benson Center,Landfill,Plastic 1-7,0.5,7.0,soap and syrup not empty
4/30/15,Benson Center,Landfill,terracycle,0.1,0.4,granola bar wrappers
4/30/15,Benson Center,Landfill,paper,1.0,11.9,recipts
4/30/15,Benson Center,Landfill,styrofoam,0.1,0.5,
4/30/15,Benson Center,Landfill,paper towels,0.5,7.8,
4/30/15,Benson Center,Landfill,glass,0.1,1.8,
4/30/15,Benson Center,Landfill,Other Landfill,1.0,15.5,napkin packaging (has plastic liner)
4/30/15,Benson Center,Landfill,aseptic containers,0.5,1.7,co-co water
4/30/15,Benson Center,Landfill,cardboard,1.0,5.0,boxes
4/30/15,Benson Center,Landfill,reusables,0.1,2.5,"forks, twistties/rubberbands"
9/16/16,Malley,Landfill,paper towels,1.0,13.3,
